Country,Year,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,CIS,Var,Value
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_ej,0.0269577
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_ej,0.001476
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.41
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh_net,0.4059
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,liqcons_kbd,33.2859726
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_ej,0
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh,0
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh_net,0
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_ej,0.068191312
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_kbd,33.2859726
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_mt,1.578
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_crudecond_kbd,825.7
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_kbd,842.6643836
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_mt,38.64524181
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_ngl_kbd,16.96438356
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,pop,12.876118
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,refcap_kbd,54.22191781
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,ren_power_ej,0.001476
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,renewables_ej,0.001476
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,solar_ej,0
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,tes_ej,0.098802148
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,tes_gj_pc,7.673286933
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,wind_ej,0
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,biogeo_ej,0
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_mtco2,6.771137208
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_pc,0.008293111
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_per_ej,4.075021236
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,coalcons_ej,0.00230274
Algeria,1968,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcfd,0.075967532
